Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-LIMD1KO-C10-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh)
ARL1,2.58E-01,5.82E-01,1.18E+00,1.18E+00,3.71E+01,3.13E+01
BBS4,1.42E-01,4.29E-01,1.18E+00,1.18E+00,2.71E+01,2.29E+01
MDN1,6.18E-02,2.69E-01,1.18E+00,1.18E+00,5.41E+01,4.57E+01
FBXO43,4.68E-01,7.66E-01,1.18E+00,1.18E+00,5.34E+00,4.51E+00
RIF1,2.12E-02,1.38E-01,1.18E+00,1.18E+00,1.97E+02,1.67E+02
BORCS8,1.42E-01,4.29E-01,1.18E+00,1.18E+00,1.80E+01,1.52E+01
STX2,1.16E-01,3.84E-01,1.18E+00,1.18E+00,2.24E+01,1.89E+01
XPOT,7.79E-02,3.07E-01,1.18E+00,1.18E+00,2.60E+01,2.20E+01
COL18A1,1.71E-01,4.71E-01,1.18E+00,1.18E+00,6.33E+01,5.35E+01
XRCC2,5.52E-02,2.52E-01,1.18E+00,1.18E+00,3.79E+01,3.21E+01
LIN54,4.76E-01,7.72E-01,1.18E+00,1.18E+00,6.50E+00,5.49E+00
EIF2S3,2.04E-01,5.17E-01,1.18E+00,1.18E+00,9.98E+01,8.44E+01
OARD1,3.89E-01,7.11E-01,1.18E+00,1.18E+00,1.35E+01,1.14E+01
EIF5,1.40E-01,4.24E-01,1.18E+00,1.18E+00,1.72E+02,1.45E+02
BCAM,6.15E-01,8.52E-01,1.18E+00,1.18E+00,4.91E+00,4.15E+00
ARHGAP22,6.28E-01,8.57E-01,1.18E+00,1.18E+00,2.51E+00,2.12E+00
CEP72,4.38E-01,7.48E-01,1.18E+00,1.18E+00,6.01E+00,5.08E+00
ZNF232,4.96E-01,7.84E-01,1.18E+00,1.18E+00,4.03E+00,3.41E+00
LYRM4,1.21E-01,3.92E-01,1.18E+00,1.18E+00,3.36E+01,2.84E+01
CHST10,8.86E-01,9.61E-01,1.18E+00,1.18E+00,5.97E+00,5.05E+00
XRCC5,3.38E-02,1.84E-01,1.18E+00,1.18E+00,3.07E+02,2.60E+02
MAP2K4P1,9.24E-01,9.77E-01,1.18E+00,1.18E+00,3.25E+00,2.75E+00
RCAN3,1.31E-01,4.09E-01,1.18E+00,1.18E+00,1.62E+01,1.37E+01
NXT2,4.30E-01,7.41E-01,1.18E+00,1.18E+00,1.23E+01,1.04E+01
BAZ2B,3.71E-02,1.94E-01,1.18E+00,1.18E+00,6.72E+01,5.68E+01
KIF5B,5.05E-02,2.37E-01,1.18E+00,1.18E+00,3.20E+02,2.71E+02
NARS2,4.33E-01,7.44E-01,1.18E+00,1.18E+00,7.52E+00,6.37E+00
DNHD1,6.36E-01,8.59E-01,1.18E+00,1.18E+00,2.53E+00,2.14E+00
GRAMD1A,2.37E-02,1.48E-01,1.18E+00,1.18E+00,1.10E+02,9.32E+01
UBE2E2,2.11E-01,5.25E-01,1.18E+00,1.18E+00,1.96E+01,1.66E+01
SLC39A7,2.05E-01,5.19E-01,1.18E+00,1.18E+00,4.70E+01,3.98E+01
CHPF,2.69E-01,5.95E-01,1.18E+00,1.18E+00,7.75E+00,6.56E+00
HSPA9,3.61E-02,1.91E-01,1.18E+00,1.18E+00,2.76E+02,2.33E+02
MLXIP,2.96E-02,1.69E-01,1.18E+00,1.18E+00,4.41E+01,3.73E+01
RP9P,4.62E-01,7.63E-01,1.18E+00,1.18E+00,1.39E+01,1.17E+01
ZNF513,3.47E-01,6.74E-01,1.18E+00,1.18E+00,4.34E+00,3.68E+00
GNL2,1.43E-01,4.30E-01,1.18E+00,1.18E+00,7.79E+01,6.60E+01
EIF4BP7,5.32E-01,8.07E-01,1.18E+00,1.18E+00,4.93E+00,4.18E+00
GNPTAB,6.44E-02,2.75E-01,1.18E+00,1.18E+00,3.75E+01,3.17E+01
RDH11,2.18E-02,1.40E-01,1.18E+00,1.18E+00,1.65E+02,1.40E+02
FAM86C2P,4.35E-01,7.45E-01,1.18E+00,1.18E+00,7.41E+00,6.27E+00
ZNF317,4.41E-01,7.50E-01,1.18E+00,1.18E+00,7.05E+00,5.97E+00
CHD2,1.48E-02,1.10E-01,1.18E+00,1.18E+00,1.03E+02,8.68E+01
EIF2S2P3,9.38E-01,9.80E-01,1.18E+00,1.18E+00,2.32E+00,1.96E+00
FAHD1,1.46E-01,4.35E-01,1.18E+00,1.18E+00,5.14E+01,4.35E+01
PPP1R11,1.52E-01,4.43E-01,1.18E+00,1.18E+00,3.03E+01,2.57E+01
NPRL3,2.56E-01,5.78E-01,1.18E+00,1.18E+00,1.77E+01,1.50E+01
PTS,8.16E-01,9.36E-01,1.18E+00,1.18E+00,1.06E+01,9.00E+00
USP27X,4.78E-01,7.73E-01,1.18E+00,1.18E+00,8.26E+00,7.00E+00
GTF3C2,1.76E-01,4.78E-01,1.18E+00,1.18E+00,2.51E+01,2.12E+01
ZCRB1,4.20E-02,2.10E-01,1.18E+00,1.18E+00,1.09E+02,9.23E+01
ARMC6,2.32E-01,5.51E-01,1.18E+00,1.18E+00,1.58E+01,1.34E+01
AIG1,3.34E-01,6.62E-01,1.18E+00,1.18E+00,9.62E+00,8.16E+00
UTP3,3.96E-01,7.16E-01,1.18E+00,1.18E+00,3.93E+01,3.33E+01
REXO1,3.40E-01,6.67E-01,1.18E+00,1.18E+00,4.47E+00,3.79E+00
PM20D2,4.11E-01,7.27E-01,1.18E+00,1.18E+00,2.09E+01,1.77E+01
PICK1,6.03E-01,8.47E-01,1.18E+00,1.18E+00,3.62E+00,3.07E+00
RAB2A,2.52E-02,1.54E-01,1.18E+00,1.18E+00,1.76E+02,1.49E+02
YWHAH,3.23E-02,1.80E-01,1.18E+00,1.18E+00,8.46E+01,7.17E+01
AIMP1,2.15E-01,5.31E-01,1.18E+00,1.18E+00,6.71E+01,5.69E+01
AL136454.1,3.49E-01,6.75E-01,1.18E+00,1.18E+00,1.18E+01,1.00E+01
SLC25A13,4.44E-02,2.18E-01,1.18E+00,1.18E+00,6.13E+01,5.20E+01
BHLHE40,2.66E-01,5.91E-01,1.18E+00,1.18E+00,1.94E+01,1.65E+01
DEDD,9.56E-01,9.86E-01,1.18E+00,1.18E+00,1.29E+01,1.10E+01
MEGF9,2.59E-01,5.83E-01,1.18E+00,1.18E+00,2.09E+01,1.77E+01
WDR75,9.57E-02,3.44E-01,1.18E+00,1.18E+00,2.63E+01,2.23E+01
CBX8,6.88E-01,8.83E-01,1.18E+00,1.18E+00,2.12E+00,1.80E+00
MOB1B,6.43E-01,8.62E-01,1.18E+00,1.18E+00,4.17E+00,3.54E+00
TOR1AIP1,1.06E-01,3.66E-01,1.18E+00,1.18E+00,2.47E+01,2.10E+01
CEBPZ,1.13E-01,3.77E-01,1.18E+00,1.18E+00,1.74E+02,1.48E+02
EFNA3,6.48E-01,8.64E-01,1.18E+00,1.18E+00,1.50E+00,1.28E+00
XRCC1,3.48E-01,6.75E-01,1.18E+00,1.18E+00,1.76E+01,1.49E+01
UGGT2,2.28E-01,5.47E-01,1.18E+00,1.18E+00,1.55E+01,1.31E+01
DDX19B,7.06E-02,2.88E-01,1.18E+00,1.18E+00,3.11E+01,2.64E+01
BTBD11,4.44E-01,7.53E-01,1.18E+00,1.18E+00,4.15E+01,3.52E+01
PPP5C,1.18E-01,3.86E-01,1.18E+00,1.18E+00,2.65E+01,2.25E+01
PPARGC1B,5.54E-01,8.20E-01,1.18E+00,1.18E+00,6.87E+00,5.84E+00
PLCB4,1.06E-01,3.66E-01,1.18E+00,1.18E+00,2.92E+01,2.48E+01
COQ10A,3.43E-01,6.69E-01,1.18E+00,1.18E+00,1.12E+01,9.55E+00
NDUFV2,1.30E-01,4.08E-01,1.18E+00,1.18E+00,5.95E+01,5.06E+01
AC100861.1,4.12E-01,7.28E-01,1.18E+00,1.18E+00,2.06E+00,1.75E+00
PPP2R2A,1.81E-02,1.25E-01,1.18E+00,1.18E+00,1.20E+02,1.02E+02
ATRX,4.00E-02,2.04E-01,1.18E+00,1.18E+00,3.04E+02,2.58E+02
PPFIA1,3.10E-02,1.75E-01,1.18E+00,1.18E+00,7.59E+01,6.45E+01
SLC25A19,4.02E-01,7.20E-01,1.18E+00,1.18E+00,1.18E+01,1.01E+01
MZF1-AS1,3.96E-01,7.16E-01,1.18E+00,1.18E+00,5.24E+00,4.45E+00
TWSG1,4.24E-01,7.37E-01,1.18E+00,1.18E+00,7.30E+00,6.21E+00
GPR137B,9.28E-01,9.78E-01,1.18E+00,1.18E+00,4.84E+00,4.11E+00
SBNO1,6.63E-02,2.80E-01,1.18E+00,1.18E+00,1.72E+02,1.46E+02
PGM3,1.04E-01,3.62E-01,1.18E+00,1.18E+00,2.40E+01,2.04E+01
ARSD,1.10E-01,3.72E-01,1.18E+00,1.18E+00,2.45E+01,2.08E+01
CDC37L1-DT,6.18E-01,8.52E-01,1.18E+00,1.18E+00,1.24E+00,1.06E+00
ARL14EP,8.11E-02,3.14E-01,1.18E+00,1.18E+00,3.32E+01,2.82E+01
METTL23,1.15E-01,3.80E-01,1.18E+00,1.18E+00,4.03E+01,3.43E+01
WDR89,1.56E-01,4.50E-01,1.18E+00,1.18E+00,2.04E+01,1.74E+01
LAPTM4B,1.34E-01,4.13E-01,1.18E+00,1.18E+00,9.29E+01,7.90E+01
AC022306.1,3.53E-01,6.78E-01,1.18E+00,1.18E+00,1.98E+01,1.68E+01
RNASEH2C,6.71E-02,2.82E-01,1.18E+00,1.18E+00,2.62E+01,2.23E+01
ZNF222,5.58E-01,8.22E-01,1.18E+00,1.18E+00,2.19E+00,1.86E+00
RGMB,4.39E-01,7.49E-01,1.18E+00,1.18E+00,4.02E+00,3.42E+00
AC034236.1,9.18E-01,9.74E-01,1.18E+00,1.18E+00,3.45E+01,2.94E+01
ACADS,2.69E-01,5.95E-01,1.18E+00,1.18E+00,9.30E+00,7.91E+00
KLHL12,8.67E-01,9.55E-01,1.18E+00,1.18E+00,1.32E+01,1.12E+01
CLCN6,7.50E-01,9.10E-01,1.18E+00,1.18E+00,2.65E+00,2.25E+00
DENND1B,4.65E-01,7.65E-01,1.18E+00,1.18E+00,6.76E+00,5.75E+00
HSPD1P1,3.31E-01,6.60E-01,1.18E+00,1.18E+00,4.24E+01,3.61E+01
ARMC9,2.32E-01,5.51E-01,1.18E+00,1.18E+00,6.50E+00,5.53E+00
GPATCH2L,6.11E-02,2.67E-01,1.18E+00,1.18E+00,3.80E+01,3.23E+01
NDUFB2-AS1,5.64E-01,8.27E-01,1.18E+00,1.18E+00,1.96E+00,1.67E+00
AC007068.1,6.63E-01,8.70E-01,1.18E+00,1.18E+00,1.92E+01,1.64E+01
ATXN7L1,2.73E-01,5.99E-01,1.18E+00,1.18E+00,8.23E+00,7.01E+00
NOL6,4.65E-01,7.65E-01,1.17E+00,1.17E+00,1.85E+01,1.58E+01
E2F5,5.61E-01,8.25E-01,1.17E+00,1.17E+00,6.20E+00,5.28E+00
TRIM27,4.62E-02,2.24E-01,1.17E+00,1.17E+00,3.49E+01,2.97E+01
LIN37,3.48E-01,6.74E-01,1.17E+00,1.17E+00,5.42E+00,4.61E+00
LGALS8,7.76E-02,3.07E-01,1.17E+00,1.17E+00,3.92E+01,3.34E+01
NDUFAF7,1.68E-01,4.67E-01,1.17E+00,1.17E+00,1.29E+01,1.10E+01
FBXW11,8.35E-02,3.20E-01,1.17E+00,1.17E+00,2.55E+01,2.17E+01
AC140479.2,5.17E-01,7.98E-01,1.17E+00,1.17E+00,1.82E+00,1.55E+00
STXBP3,4.47E-01,7.54E-01,1.17E+00,1.17E+00,7.94E+00,6.76E+00
GEMIN6,2.55E-01,5.78E-01,1.17E+00,1.17E+00,2.87E+01,2.44E+01
BTG2,4.16E-01,7.31E-01,1.17E+00,1.17E+00,3.00E+00,2.55E+00
AP3B1,1.04E-01,3.61E-01,1.17E+00,1.17E+00,4.15E+01,3.54E+01
AL354861.1,8.37E-01,9.44E-01,1.17E+00,1.17E+00,1.88E+00,1.60E+00
SLC39A14,5.14E-01,7.95E-01,1.17E+00,1.17E+00,3.05E+01,2.60E+01
MAPT,7.95E-01,9.27E-01,1.17E+00,1.17E+00,2.27E+00,1.93E+00
AKR7A2,5.23E-02,2.43E-01,1.17E+00,1.17E+00,3.11E+01,2.65E+01
VGLL3,1.25E-01,3.99E-01,1.17E+00,1.17E+00,1.66E+01,1.41E+01
NAF1,6.26E-01,8.55E-01,1.17E+00,1.17E+00,8.68E+00,7.39E+00
TGIF1,4.20E-01,7.34E-01,1.17E+00,1.17E+00,2.28E+01,1.94E+01
KMT5B,1.24E-01,3.97E-01,1.17E+00,1.17E+00,4.28E+01,3.65E+01
ARAF,1.40E-01,4.25E-01,1.17E+00,1.17E+00,2.00E+01,1.71E+01
PNPLA2,1.93E-01,5.04E-01,1.17E+00,1.17E+00,2.12E+01,1.81E+01
MYO5B,9.18E-01,9.74E-01,1.17E+00,1.17E+00,8.86E+00,7.55E+00
GTPBP1,2.82E-01,6.08E-01,1.17E+00,1.17E+00,7.64E+00,6.51E+00
NOMO3,4.73E-01,7.69E-01,1.17E+00,1.17E+00,1.08E+01,9.18E+00
RAP2A,3.49E-01,6.76E-01,1.17E+00,1.17E+00,6.97E+00,5.94E+00
ATF7IP,3.42E-01,6.69E-01,1.17E+00,1.17E+00,1.93E+01,1.65E+01
PTGES,4.54E-01,7.59E-01,1.17E+00,1.17E+00,2.15E+02,1.83E+02
BOC,4.72E-01,7.68E-01,1.17E+00,1.17E+00,2.76E+00,2.35E+00
TP53BP1,9.39E-02,3.41E-01,1.17E+00,1.17E+00,5.12E+01,4.36E+01
SELENOF,9.81E-01,9.94E-01,1.17E+00,1.17E+00,2.04E+01,1.74E+01
DNM2,7.76E-02,3.07E-01,1.17E+00,1.17E+00,4.51E+01,3.85E+01
TGFBR2,5.63E-01,8.27E-01,1.17E+00,1.17E+00,3.01E+01,2.57E+01
TBC1D23,2.03E-01,5.17E-01,1.17E+00,1.17E+00,1.37E+01,1.17E+01
MNT,1.56E-01,4.48E-01,1.17E+00,1.17E+00,1.95E+01,1.67E+01
CNOT6L,1.40E-01,4.24E-01,1.17E+00,1.17E+00,1.93E+01,1.65E+01
MBD6,4.45E-01,7.53E-01,1.17E+00,1.17E+00,1.36E+01,1.16E+01
FBXO33,4.15E-01,7.31E-01,1.17E+00,1.17E+00,1.44E+01,1.23E+01
RAB13,8.73E-02,3.27E-01,1.17E+00,1.17E+00,1.05E+02,8.94E+01
POP5,2.41E-01,5.62E-01,1.17E+00,1.17E+00,3.39E+01,2.89E+01
AC009094.1,3.47E-01,6.74E-01,1.17E+00,1.17E+00,1.30E+01,1.10E+01
NUDT14,5.83E-01,8.36E-01,1.17E+00,1.17E+00,6.76E+00,5.77E+00
SCPEP1,7.25E-01,9.00E-01,1.17E+00,1.17E+00,4.94E+00,4.21E+00
CHMP3,1.24E-02,9.80E-02,1.17E+00,1.17E+00,1.96E+02,1.68E+02
LTV1,2.82E-02,1.65E-01,1.17E+00,1.17E+00,5.65E+01,4.82E+01
MAP3K2,9.91E-03,8.42E-02,1.17E+00,1.17E+00,9.43E+01,8.05E+01
TSPYL4,7.68E-01,9.17E-01,1.17E+00,1.17E+00,3.42E+00,2.92E+00
RSRP1,1.69E-01,4.69E-01,1.17E+00,1.17E+00,1.72E+01,1.46E+01
METRN,3.21E-01,6.50E-01,1.17E+00,1.17E+00,6.63E+01,5.65E+01
AC012640.2,6.49E-01,8.64E-01,1.17E+00,1.17E+00,2.60E+00,2.22E+00
EIF4ENIF1,2.49E-01,5.72E-01,1.17E+00,1.17E+00,1.16E+01,9.92E+00
SMAD6,3.09E-01,6.38E-01,1.17E+00,1.17E+00,3.43E+01,2.92E+01
IRX5,9.82E-01,9.94E-01,1.17E+00,1.17E+00,3.17E+00,2.71E+00
NOL10,1.26E-01,4.00E-01,1.17E+00,1.17E+00,7.09E+01,6.05E+01
RAPGEF6,2.59E-01,5.82E-01,1.17E+00,1.17E+00,1.31E+01,1.12E+01
CENPN,6.44E-01,8.62E-01,1.17E+00,1.17E+00,2.02E+01,1.73E+01
PDIA5,7.80E-01,9.21E-01,1.17E+00,1.17E+00,1.01E+01,8.67E+00
SRP54,5.63E-02,2.55E-01,1.17E+00,1.17E+00,3.20E+01,2.73E+01
ANKRD18B,7.18E-01,8.97E-01,1.17E+00,1.17E+00,2.53E+01,2.16E+01
LSM3P3,5.47E-01,8.16E-01,1.17E+00,1.17E+00,2.01E+00,1.72E+00
RPF2P1,5.26E-01,8.04E-01,1.17E+00,1.17E+00,5.64E+00,4.82E+00
CCNG1,4.57E-01,7.60E-01,1.17E+00,1.17E+00,2.78E+01,2.37E+01
CHMP4B,6.27E-02,2.71E-01,1.17E+00,1.17E+00,7.38E+01,6.30E+01
CCDC150,6.69E-01,8.74E-01,1.17E+00,1.17E+00,8.22E+00,7.02E+00
TMEM189,2.52E-01,5.75E-01,1.17E+00,1.17E+00,2.01E+01,1.72E+01
MGST1,5.60E-01,8.24E-01,1.17E+00,1.17E+00,1.89E+02,1.62E+02
IMPDH2,3.26E-01,6.54E-01,1.17E+00,1.17E+00,8.13E+01,6.94E+01
VEZT,4.72E-02,2.27E-01,1.17E+00,1.17E+00,9.00E+01,7.69E+01
PARP12,8.77E-01,9.58E-01,1.17E+00,1.17E+00,4.60E+00,3.93E+00
GTF2IP1,2.19E-01,5.35E-01,1.17E+00,1.17E+00,1.12E+02,9.59E+01
PHF3,2.91E-02,1.68E-01,1.17E+00,1.17E+00,1.06E+02,9.05E+01
ASB3,1.82E-01,4.89E-01,1.17E+00,1.17E+00,1.77E+01,1.51E+01
HADHA,2.66E-02,1.59E-01,1.17E+00,1.17E+00,1.22E+02,1.04E+02
POLE4,2.32E-01,5.51E-01,1.17E+00,1.17E+00,3.65E+01,3.12E+01
P3H2,1.84E-01,4.92E-01,1.17E+00,1.17E+00,7.46E+00,6.38E+00
GOLGB1,1.70E-02,1.20E-01,1.17E+00,1.17E+00,2.55E+02,2.18E+02
ASIC1,9.33E-01,9.79E-01,1.17E+00,1.17E+00,3.24E+00,2.77E+00
KCNAB3,6.53E-01,8.66E-01,1.17E+00,1.17E+00,2.54E+00,2.18E+00
MRPS9,1.93E-01,5.04E-01,1.17E+00,1.17E+00,3.22E+01,2.75E+01
NGRN,1.15E-01,3.82E-01,1.17E+00,1.17E+00,1.23E+02,1.05E+02
ATG12,1.99E-01,5.12E-01,1.17E+00,1.17E+00,6.30E+01,5.38E+01
MYO5A,9.63E-02,3.46E-01,1.17E+00,1.17E+00,8.00E+01,6.85E+01
GPX8,1.22E-01,3.94E-01,1.17E+00,1.17E+00,2.99E+01,2.56E+01
AC016394.2,5.10E-01,7.93E-01,1.17E+00,1.17E+00,1.51E+00,1.29E+00
MCM3,4.85E-02,2.31E-01,1.17E+00,1.17E+00,9.43E+01,8.07E+01
SAR1B,9.18E-02,3.37E-01,1.17E+00,1.17E+00,2.07E+01,1.77E+01
HIST1H3E,6.66E-01,8.72E-01,1.17E+00,1.17E+00,2.02E+00,1.73E+00
AL353726.1,4.32E-01,7.43E-01,1.17E+00,1.17E+00,5.79E+00,4.95E+00
KPNA3,2.37E-02,1.48E-01,1.17E+00,1.17E+00,9.08E+01,7.77E+01
SMAD3,4.33E-02,2.15E-01,1.17E+00,1.17E+00,1.62E+02,1.39E+02
SPCS1,6.38E-01,8.59E-01,1.17E+00,1.17E+00,4.43E+01,3.79E+01
GNB5,8.57E-02,3.24E-01,1.17E+00,1.17E+00,4.10E+01,3.51E+01
RAPGEF2,1.31E-01,4.09E-01,1.17E+00,1.17E+00,1.71E+01,1.46E+01
DGKQ,4.69E-01,7.66E-01,1.17E+00,1.17E+00,4.45E+00,3.81E+00
COQ8A,9.11E-01,9.72E-01,1.17E+00,1.17E+00,5.32E+00,4.55E+00
C5orf56,8.85E-01,9.61E-01,1.17E+00,1.17E+00,2.50E+00,2.14E+00
HSPE1P4,2.85E-01,6.12E-01,1.17E+00,1.17E+00,1.03E+01,8.82E+00
RPL13AP20,8.63E-01,9.53E-01,1.17E+00,1.17E+00,3.54E+00,3.03E+00
TRAPPC9,4.53E-01,7.59E-01,1.17E+00,1.17E+00,8.16E+00,6.99E+00
ASCC1,2.18E-01,5.34E-01,1.17E+00,1.17E+00,2.21E+01,1.90E+01
PCDHA12,5.04E-01,7.88E-01,1.17E+00,1.17E+00,3.41E+01,2.92E+01
TGFB2,1.86E-01,4.94E-01,1.17E+00,1.17E+00,2.67E+01,2.28E+01
DBR1,2.71E-01,5.97E-01,1.17E+00,1.17E+00,1.29E+01,1.11E+01
MAK16,1.00E-01,3.54E-01,1.17E+00,1.17E+00,3.61E+01,3.09E+01
PSMA7,1.24E-03,2.05E-02,1.17E+00,1.17E+00,6.40E+02,5.48E+02
PUS10,3.76E-01,6.99E-01,1.17E+00,1.17E+00,1.41E+00,1.21E+00
COMMD1,1.06E-01,3.66E-01,1.17E+00,1.17E+00,3.74E+01,3.20E+01
PITPNM1,9.21E-01,9.75E-01,1.17E+00,1.17E+00,2.72E+00,2.33E+00
NUDT4P2,5.29E-01,8.06E-01,1.17E+00,1.17E+00,3.99E+00,3.42E+00
MORF4L1P1,1.07E-01,3.67E-01,1.17E+00,1.17E+00,2.22E+02,1.90E+02
TMEM143,4.92E-01,7.81E-01,1.17E+00,1.17E+00,8.55E+00,7.33E+00
KATNBL1P6,8.08E-01,9.33E-01,1.17E+00,1.17E+00,6.99E+00,5.99E+00
SRP19,1.56E-01,4.49E-01,1.17E+00,1.17E+00,4.39E+01,3.77E+01
HIST1H2AJ,7.80E-01,9.21E-01,1.17E+00,1.17E+00,2.68E+01,2.30E+01
EIF5AL1,1.52E-01,4.44E-01,1.17E+00,1.17E+00,2.08E+02,1.78E+02
SERF1B,4.92E-01,7.81E-01,1.17E+00,1.17E+00,2.39E+01,2.05E+01
YJEFN3,5.96E-01,8.43E-01,1.17E+00,1.17E+00,3.65E+00,3.13E+00
RNF5,4.85E-01,7.77E-01,1.17E+00,1.17E+00,1.12E+01,9.65E+00
AP005482.3,4.93E-01,7.82E-01,1.17E+00,1.17E+00,1.21E+00,1.03E+00
LEPROT,2.72E-02,1.61E-01,1.17E+00,1.17E+00,6.93E+01,5.94E+01
NBL1,2.93E-01,6.22E-01,1.17E+00,1.17E+00,1.69E+01,1.45E+01
SYTL3,7.80E-01,9.21E-01,1.17E+00,1.17E+00,1.97E+00,1.69E+00
TSPAN9,5.72E-01,8.31E-01,1.17E+00,1.17E+00,7.40E+00,6.35E+00
TPST1,6.46E-01,8.63E-01,1.17E+00,1.17E+00,2.12E+00,1.82E+00
WDCP,5.38E-01,8.12E-01,1.17E+00,1.17E+00,1.17E+01,1.01E+01
ATG9A,1.74E-01,4.76E-01,1.17E+00,1.17E+00,2.24E+01,1.92E+01
YRDC,2.53E-01,5.75E-01,1.17E+00,1.17E+00,1.21E+01,1.04E+01
NEU1,2.34E-01,5.53E-01,1.17E+00,1.17E+00,2.20E+01,1.89E+01
SPINDOC,4.01E-01,7.19E-01,1.17E+00,1.17E+00,9.20E+00,7.89E+00
SPPL2A,3.65E-01,6.90E-01,1.17E+00,1.17E+00,4.29E+01,3.68E+01
GEMIN8,5.98E-01,8.44E-01,1.17E+00,1.17E+00,4.62E+00,3.97E+00
RBFA,2.78E-01,6.05E-01,1.17E+00,1.17E+00,2.10E+01,1.80E+01
C1orf216,2.58E-01,5.82E-01,1.17E+00,1.17E+00,9.21E+00,7.90E+00
RRAGC,2.89E-01,6.17E-01,1.16E+00,1.16E+00,3.70E+01,3.17E+01
SMIM29,1.02E-01,3.56E-01,1.16E+00,1.16E+00,1.77E+01,1.52E+01
DIAPH3,6.64E-02,2.81E-01,1.16E+00,1.16E+00,5.62E+01,4.82E+01
ZFYVE28,6.31E-01,8.57E-01,1.16E+00,1.16E+00,1.75E+00,1.50E+00
PPT1,9.72E-02,3.48E-01,1.16E+00,1.16E+00,4.11E+01,3.53E+01
USP51,9.71E-01,9.92E-01,1.16E+00,1.16E+00,4.17E+00,3.58E+00
RUFY3,3.15E-01,6.44E-01,1.16E+00,1.16E+00,1.48E+01,1.27E+01
FAM76B,2.42E-01,5.64E-01,1.16E+00,1.16E+00,1.27E+01,1.09E+01
AC073063.1,4.71E-01,7.68E-01,1.16E+00,1.16E+00,8.54E+00,7.33E+00
RAD51B,6.39E-01,8.60E-01,1.16E+00,1.16E+00,3.00E+00,2.57E+00
UNK,6.34E-01,8.58E-01,1.16E+00,1.16E+00,1.02E+01,8.80E+00
AC012354.2,7.86E-01,9.24E-01,1.16E+00,1.16E+00,3.85E+00,3.31E+00
PIGX,1.50E-01,4.40E-01,1.16E+00,1.16E+00,3.89E+01,3.34E+01
AL445647.1,5.56E-01,8.21E-01,1.16E+00,1.16E+00,3.02E+00,2.59E+00
ATP6V1E1,1.92E-01,5.02E-01,1.16E+00,1.16E+00,5.94E+01,5.11E+01
EHBP1L1,4.66E-01,7.66E-01,1.16E+00,1.16E+00,1.19E+01,1.02E+01
PAWR,1.26E-02,9.93E-02,1.16E+00,1.16E+00,1.27E+02,1.09E+02
AC005332.4,7.49E-01,9.10E-01,1.16E+00,1.16E+00,2.37E+00,2.04E+00
ACTL6A,2.47E-01,5.69E-01,1.16E+00,1.16E+00,2.54E+01,2.18E+01
AC133644.3,7.75E-01,9.19E-01,1.16E+00,1.16E+00,2.30E+00,1.97E+00
UBE2F,2.29E-01,5.47E-01,1.16E+00,1.16E+00,1.99E+01,1.71E+01
FMC1,9.31E-01,9.79E-01,1.16E+00,1.16E+00,1.59E+01,1.36E+01
SNHG5,2.79E-01,6.05E-01,1.16E+00,1.16E+00,2.22E+02,1.90E+02
DDX55,9.29E-02,3.40E-01,1.16E+00,1.16E+00,4.51E+01,3.88E+01
AVEN,1.64E-01,4.59E-01,1.16E+00,1.16E+00,2.82E+01,2.43E+01
ARFGAP3,1.54E-01,4.47E-01,1.16E+00,1.16E+00,2.33E+01,2.01E+01
ZNF384,3.54E-01,6.80E-01,1.16E+00,1.16E+00,7.62E+00,6.55E+00
IMPDH1,1.46E-01,4.34E-01,1.16E+00,1.16E+00,3.78E+01,3.25E+01
VARS2,4.68E-01,7.66E-01,1.16E+00,1.16E+00,7.87E+00,6.77E+00
MSC-AS1,8.36E-01,9.43E-01,1.16E+00,1.16E+00,9.78E-01,8.41E-01
SBF2-AS1,8.85E-01,9.61E-01,1.16E+00,1.16E+00,3.78E+00,3.25E+00
LZIC,1.91E-01,5.02E-01,1.16E+00,1.16E+00,2.49E+01,2.14E+01
G3BP2,2.71E-02,1.61E-01,1.16E+00,1.16E+00,7.48E+01,6.44E+01
TUG1,3.78E-02,1.96E-01,1.16E+00,1.16E+00,7.36E+01,6.34E+01
ASPM,5.66E-02,2.56E-01,1.16E+00,1.16E+00,2.46E+02,2.12E+02
TMEM237,3.44E-01,6.71E-01,1.16E+00,1.16E+00,1.04E+01,8.93E+00
ABHD18,4.89E-01,7.80E-01,1.16E+00,1.16E+00,4.76E+00,4.09E+00
IPO11,2.47E-01,5.70E-01,1.16E+00,1.16E+00,1.40E+01,1.21E+01
ZDHHC9,2.44E-01,5.65E-01,1.16E+00,1.16E+00,5.75E+01,4.95E+01
FAM173B,5.38E-01,8.11E-01,1.16E+00,1.16E+00,5.41E+00,4.65E+00
MAGI3,3.36E-01,6.63E-01,1.16E+00,1.16E+00,2.88E+01,2.47E+01
