Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-LIMD1KO-C5-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),
TYW1B,8.70E-01,9.68E-01,9.67E-01,-1.03E+00,4.58E+00,4.74E+00,#NUM!
TMEM161B-AS1,9.58E-01,9.91E-01,9.67E-01,-1.03E+00,2.95E+00,3.06E+00,#NUM!
NGLY1,8.19E-01,9.53E-01,9.67E-01,-1.03E+00,1.96E+01,2.02E+01,#NUM!
PROSER1,8.19E-01,9.53E-01,9.67E-01,-1.03E+00,7.29E+00,7.54E+00,#NUM!
PCBP2,4.75E-01,7.86E-01,9.67E-01,-1.03E+00,2.65E+02,2.74E+02,#NUM!
PLS3,6.78E-01,8.96E-01,9.67E-01,-1.03E+00,1.33E+02,1.37E+02,#NUM!
ZNF260,9.15E-01,9.80E-01,9.67E-01,-1.03E+00,1.30E+01,1.35E+01,#NUM!
DOCK7,8.61E-01,9.65E-01,9.67E-01,-1.03E+00,1.16E+01,1.20E+01,#NUM!
MRPS26,6.39E-01,8.77E-01,9.67E-01,-1.03E+00,1.15E+02,1.19E+02,#NUM!
DUSP12,4.82E-01,7.91E-01,9.66E-01,-1.03E+00,1.33E+01,1.38E+01,#NUM!
ARHGEF25,8.26E-01,9.54E-01,9.66E-01,-1.03E+00,3.60E+00,3.72E+00,#NUM!
TMEM237,6.84E-01,8.99E-01,9.66E-01,-1.03E+00,1.04E+01,1.07E+01,#NUM!
HGSNAT,7.57E-01,9.31E-01,9.66E-01,-1.03E+00,2.88E+01,2.98E+01,#NUM!
MACO1,6.90E-01,9.03E-01,9.66E-01,-1.03E+00,1.54E+01,1.59E+01,#NUM!
C1orf123,5.47E-01,8.31E-01,9.66E-01,-1.03E+00,1.22E+01,1.27E+01,#NUM!
NT5DC1,8.45E-01,9.60E-01,9.66E-01,-1.04E+00,2.11E+01,2.19E+01,#NUM!
ASCC2,5.90E-01,8.54E-01,9.66E-01,-1.04E+00,1.34E+01,1.39E+01,#NUM!
LRRC42,3.95E-01,7.32E-01,9.66E-01,-1.04E+00,1.63E+01,1.69E+01,#NUM!
EPS8L1,8.00E-01,9.46E-01,9.66E-01,-1.04E+00,2.72E+00,2.82E+00,#NUM!
ZMYM6,8.08E-01,9.48E-01,9.66E-01,-1.04E+00,5.83E+00,6.04E+00,#NUM!
CCT4,8.14E-01,9.51E-01,9.66E-01,-1.04E+00,1.89E+02,1.96E+02,#NUM!
MARK4,9.89E-01,9.97E-01,9.66E-01,-1.04E+00,8.86E+00,9.17E+00,#NUM!
RPAP3,5.87E-01,8.53E-01,9.66E-01,-1.04E+00,9.79E+01,1.01E+02,#NUM!
AL358472.4,8.70E-01,9.68E-01,9.66E-01,-1.04E+00,2.32E+00,2.41E+00,#NUM!
CKAP2L,7.23E-01,9.19E-01,9.66E-01,-1.04E+00,3.61E+01,3.74E+01,#NUM!
EXTL2,8.01E-01,9.46E-01,9.66E-01,-1.04E+00,1.50E+01,1.56E+01,#NUM!
DOCK11,8.97E-01,9.76E-01,9.66E-01,-1.04E+00,4.86E+00,5.03E+00,#NUM!
AC004951.1,8.19E-01,9.53E-01,9.66E-01,-1.04E+00,4.82E+00,4.99E+00,#NUM!
AKNA,8.15E-01,9.51E-01,9.66E-01,-1.04E+00,2.87E+00,2.97E+00,#NUM!
FECH,8.96E-01,9.76E-01,9.66E-01,-1.04E+00,1.82E+01,1.89E+01,#NUM!
DCAF5,7.58E-01,9.32E-01,9.65E-01,-1.04E+00,2.24E+01,2.32E+01,#NUM!
NSMCE2,7.37E-01,9.25E-01,9.65E-01,-1.04E+00,2.28E+01,2.36E+01,#NUM!
ZBTB22,8.84E-01,9.73E-01,9.65E-01,-1.04E+00,1.60E+00,1.65E+00,#NUM!
CD81,5.93E-01,8.56E-01,9.65E-01,-1.04E+00,1.88E+02,1.95E+02,#NUM!
PSMB3,7.64E-01,9.33E-01,9.65E-01,-1.04E+00,8.63E+01,8.94E+01,#NUM!
MIS12,6.76E-01,8.94E-01,9.65E-01,-1.04E+00,1.82E+01,1.88E+01,#NUM!
TJAP1,6.86E-01,9.00E-01,9.65E-01,-1.04E+00,4.89E+00,5.06E+00,#NUM!
TRMU,7.83E-01,9.41E-01,9.65E-01,-1.04E+00,1.40E+01,1.45E+01,#NUM!
ATP5F1C,7.24E-01,9.19E-01,9.65E-01,-1.04E+00,6.91E+01,7.16E+01,#NUM!
CSNK2A3,6.14E-01,8.67E-01,9.65E-01,-1.04E+00,2.21E+01,2.29E+01,#NUM!
MTOR,8.71E-01,9.68E-01,9.65E-01,-1.04E+00,1.77E+01,1.83E+01,#NUM!
PIK3CA,6.78E-01,8.95E-01,9.65E-01,-1.04E+00,8.71E+00,9.03E+00,#NUM!
AC100821.1,7.27E-01,9.20E-01,9.65E-01,-1.04E+00,1.74E+00,1.80E+00,#NUM!
NUDT3,6.74E-01,8.94E-01,9.65E-01,-1.04E+00,5.51E+01,5.71E+01,#NUM!
CAPN15,7.04E-01,9.10E-01,9.65E-01,-1.04E+00,2.30E+01,2.38E+01,#NUM!
AC023906.1,6.63E-01,8.88E-01,9.65E-01,-1.04E+00,3.14E+01,3.25E+01,#NUM!
WWC1,5.45E-01,8.31E-01,9.65E-01,-1.04E+00,1.24E+02,1.29E+02,#NUM!
DNM1,7.70E-01,9.36E-01,9.65E-01,-1.04E+00,2.74E+01,2.84E+01,#NUM!
AC008038.1,8.23E-01,9.54E-01,9.65E-01,-1.04E+00,1.98E+01,2.05E+01,#NUM!
MRAS,9.03E-01,9.78E-01,9.65E-01,-1.04E+00,5.55E+00,5.76E+00,#NUM!
AC100757.1,7.84E-01,9.41E-01,9.65E-01,-1.04E+00,2.46E+00,2.55E+00,#NUM!
VTI1A,8.22E-01,9.53E-01,9.65E-01,-1.04E+00,1.40E+01,1.45E+01,#NUM!
DEPDC5,7.48E-01,9.28E-01,9.65E-01,-1.04E+00,2.34E+00,2.43E+00,#NUM!
MAD2L2,8.71E-01,9.68E-01,9.65E-01,-1.04E+00,1.57E+01,1.62E+01,#NUM!
REST,6.40E-01,8.77E-01,9.65E-01,-1.04E+00,7.91E+01,8.21E+01,#NUM!
UBE2D2,5.69E-01,8.44E-01,9.65E-01,-1.04E+00,1.20E+02,1.25E+02,#NUM!
ST7,8.02E-01,9.46E-01,9.65E-01,-1.04E+00,6.38E+00,6.61E+00,#NUM!
CHAMP1,7.88E-01,9.41E-01,9.64E-01,-1.04E+00,1.68E+01,1.74E+01,#NUM!
ZNF280B,9.76E-01,9.95E-01,9.64E-01,-1.04E+00,1.19E+01,1.23E+01,#NUM!
FAHD2B,8.72E-01,9.69E-01,9.64E-01,-1.04E+00,2.24E+00,2.32E+00,#NUM!
POLR2M,9.56E-01,9.90E-01,9.64E-01,-1.04E+00,2.00E+01,2.08E+01,#NUM!
THUMPD1,5.68E-01,8.43E-01,9.64E-01,-1.04E+00,6.39E+01,6.63E+01,#NUM!
SELENON,7.31E-01,9.21E-01,9.64E-01,-1.04E+00,8.47E+00,8.78E+00,#NUM!
ST3GAL4,9.10E-01,9.79E-01,9.64E-01,-1.04E+00,3.66E+00,3.80E+00,#NUM!
PDXP,7.98E-01,9.45E-01,9.64E-01,-1.04E+00,7.48E+00,7.76E+00,#NUM!
SH2D4A,6.39E-01,8.77E-01,9.64E-01,-1.04E+00,6.80E+01,7.05E+01,#NUM!
SEC23A,7.21E-01,9.17E-01,9.64E-01,-1.04E+00,2.77E+01,2.88E+01,#NUM!
AGAP6,7.62E-01,9.33E-01,9.64E-01,-1.04E+00,1.08E+01,1.12E+01,#NUM!
PSKH1,7.99E-01,9.46E-01,9.64E-01,-1.04E+00,1.36E+01,1.41E+01,#NUM!
EEF1G,7.73E-01,9.38E-01,9.64E-01,-1.04E+00,3.30E+02,3.42E+02,#NUM!
DRAP1,9.19E-01,9.81E-01,9.64E-01,-1.04E+00,3.51E+01,3.64E+01,#NUM!
RRS1,6.20E-01,8.69E-01,9.64E-01,-1.04E+00,6.26E+01,6.49E+01,#NUM!
NEMP1,8.16E-01,9.51E-01,9.64E-01,-1.04E+00,6.39E+00,6.63E+00,#NUM!
SKP1,6.07E-01,8.63E-01,9.64E-01,-1.04E+00,1.54E+02,1.60E+02,#NUM!
HERPUD1,7.82E-01,9.41E-01,9.64E-01,-1.04E+00,1.93E+01,2.01E+01,#NUM!
CHCHD2,5.60E-01,8.38E-01,9.64E-01,-1.04E+00,8.60E+02,8.92E+02,#NUM!
SYNM,7.61E-01,9.33E-01,9.64E-01,-1.04E+00,4.47E+01,4.63E+01,#NUM!
XRN1,8.34E-01,9.56E-01,9.64E-01,-1.04E+00,1.81E+01,1.88E+01,#NUM!
ATP5MPL,6.15E-01,8.67E-01,9.64E-01,-1.04E+00,2.43E+02,2.52E+02,#NUM!
FITM2,7.53E-01,9.30E-01,9.64E-01,-1.04E+00,1.02E+01,1.06E+01,#NUM!
IFT80,6.42E-01,8.79E-01,9.64E-01,-1.04E+00,1.46E+01,1.52E+01,#NUM!
FLVCR1,8.46E-01,9.60E-01,9.64E-01,-1.04E+00,1.72E+01,1.78E+01,#NUM!
ACER3,7.05E-01,9.10E-01,9.64E-01,-1.04E+00,3.13E+01,3.24E+01,#NUM!
TERF1P5,7.62E-01,9.33E-01,9.64E-01,-1.04E+00,2.78E+01,2.89E+01,#NUM!
RPF1,6.03E-01,8.61E-01,9.64E-01,-1.04E+00,3.70E+01,3.84E+01,#NUM!
ANAPC11,5.78E-01,8.48E-01,9.64E-01,-1.04E+00,1.57E+02,1.63E+02,#NUM!
CTPS1,5.86E-01,8.52E-01,9.64E-01,-1.04E+00,4.91E+01,5.09E+01,#NUM!
KAT7,6.24E-01,8.71E-01,9.64E-01,-1.04E+00,3.48E+01,3.61E+01,#NUM!
RAD18,6.79E-01,8.96E-01,9.64E-01,-1.04E+00,2.84E+01,2.95E+01,#NUM!
FKBP2,5.16E-01,8.14E-01,9.64E-01,-1.04E+00,4.66E+01,4.83E+01,#NUM!
SLC15A4,8.01E-01,9.46E-01,9.64E-01,-1.04E+00,2.62E+01,2.72E+01,#NUM!
TOMM7,6.31E-01,8.74E-01,9.64E-01,-1.04E+00,1.92E+02,1.99E+02,#NUM!
SSRP1,5.67E-01,8.43E-01,9.64E-01,-1.04E+00,4.42E+02,4.59E+02,#NUM!
IGSF3,7.24E-01,9.19E-01,9.64E-01,-1.04E+00,2.51E+01,2.61E+01,#NUM!
CSNK1G2,6.00E-01,8.60E-01,9.63E-01,-1.04E+00,3.56E+01,3.70E+01,#NUM!
PARP2,6.07E-01,8.63E-01,9.63E-01,-1.04E+00,3.45E+01,3.58E+01,#NUM!
TBP,7.58E-01,9.32E-01,9.63E-01,-1.04E+00,7.23E+00,7.51E+00,#NUM!
CAPZA2,7.17E-01,9.15E-01,9.63E-01,-1.04E+00,4.17E+01,4.32E+01,#NUM!
ZNF629,6.96E-01,9.06E-01,9.63E-01,-1.04E+00,2.30E+01,2.39E+01,#NUM!
LRIG3,8.94E-01,9.75E-01,9.63E-01,-1.04E+00,1.62E+00,1.69E+00,#NUM!
ATP5S,7.64E-01,9.33E-01,9.63E-01,-1.04E+00,1.98E+01,2.05E+01,#NUM!
HERC1,6.48E-01,8.82E-01,9.63E-01,-1.04E+00,4.14E+01,4.30E+01,#NUM!
LRFN4,8.03E-01,9.46E-01,9.63E-01,-1.04E+00,9.00E+00,9.34E+00,#NUM!
ZFP90,6.40E-01,8.77E-01,9.63E-01,-1.04E+00,1.44E+01,1.50E+01,#NUM!
PPP1R10,7.64E-01,9.33E-01,9.63E-01,-1.04E+00,1.12E+02,1.16E+02,#NUM!
AC008026.2,4.96E-01,8.01E-01,9.63E-01,-1.04E+00,1.32E+01,1.37E+01,#NUM!
RAN,6.19E-01,8.69E-01,9.63E-01,-1.04E+00,5.90E+02,6.13E+02,#NUM!
ENY2,4.87E-01,7.94E-01,9.63E-01,-1.04E+00,1.57E+02,1.63E+02,#NUM!
EMC8,5.99E-01,8.59E-01,9.63E-01,-1.04E+00,4.52E+01,4.69E+01,#NUM!
DYRK1A,6.51E-01,8.83E-01,9.63E-01,-1.04E+00,2.71E+01,2.81E+01,#NUM!
PSMD12,6.55E-01,8.85E-01,9.63E-01,-1.04E+00,1.02E+02,1.06E+02,#NUM!
RAB3GAP2,6.36E-01,8.76E-01,9.63E-01,-1.04E+00,3.95E+01,4.11E+01,#NUM!
RUVBL1,6.47E-01,8.81E-01,9.63E-01,-1.04E+00,8.44E+01,8.76E+01,#NUM!
ING2,7.15E-01,9.14E-01,9.63E-01,-1.04E+00,2.93E+01,3.04E+01,#NUM!
PCGF2,7.43E-01,9.27E-01,9.63E-01,-1.04E+00,2.44E+01,2.53E+01,#NUM!
INSIG1,6.70E-01,8.91E-01,9.63E-01,-1.04E+00,5.12E+01,5.32E+01,#NUM!
CBL,6.30E-01,8.73E-01,9.63E-01,-1.04E+00,2.45E+01,2.55E+01,#NUM!
MATR3,4.34E-01,7.60E-01,9.63E-01,-1.04E+00,2.71E+02,2.82E+02,#NUM!
SMU1,5.75E-01,8.47E-01,9.63E-01,-1.04E+00,2.21E+01,2.30E+01,#NUM!
ABCA1,9.73E-01,9.95E-01,9.63E-01,-1.04E+00,3.73E+00,3.87E+00,#NUM!
YTHDF2,6.16E-01,8.67E-01,9.63E-01,-1.04E+00,7.20E+01,7.48E+01,#NUM!
ENTPD3-AS1,6.36E-01,8.76E-01,9.63E-01,-1.04E+00,1.88E+00,1.95E+00,#NUM!
ACBD6,6.18E-01,8.69E-01,9.62E-01,-1.04E+00,3.59E+01,3.73E+01,#NUM!
TAP2,6.39E-01,8.77E-01,9.62E-01,-1.04E+00,1.71E+01,1.78E+01,#NUM!
GATD1,7.03E-01,9.09E-01,9.62E-01,-1.04E+00,1.89E+01,1.96E+01,#NUM!
TRIM39,8.20E-01,9.53E-01,9.62E-01,-1.04E+00,3.14E+00,3.26E+00,#NUM!
AC141586.1,6.65E-01,8.89E-01,9.62E-01,-1.04E+00,1.79E+01,1.86E+01,#NUM!
SLC44A1,6.22E-01,8.70E-01,9.62E-01,-1.04E+00,2.95E+01,3.07E+01,#NUM!
CSPP1,5.92E-01,8.55E-01,9.62E-01,-1.04E+00,3.75E+01,3.90E+01,#NUM!
NMRAL1,8.39E-01,9.58E-01,9.62E-01,-1.04E+00,2.21E+01,2.29E+01,#NUM!
SCAMP1-AS1,7.14E-01,9.13E-01,9.62E-01,-1.04E+00,7.27E+00,7.55E+00,#NUM!
LIN52,7.51E-01,9.29E-01,9.62E-01,-1.04E+00,1.11E+01,1.15E+01,#NUM!
GINS1,6.13E-01,8.66E-01,9.62E-01,-1.04E+00,3.56E+01,3.70E+01,#NUM!
CDCA3,7.08E-01,9.10E-01,9.62E-01,-1.04E+00,3.77E+01,3.91E+01,#NUM!
PRDX6,6.09E-01,8.64E-01,9.62E-01,-1.04E+00,1.03E+02,1.07E+02,#NUM!
SLC35A1,7.58E-01,9.32E-01,9.62E-01,-1.04E+00,4.85E+00,5.04E+00,#NUM!
SAMD8,8.30E-01,9.56E-01,9.62E-01,-1.04E+00,8.95E+00,9.31E+00,#NUM!
GPN3,8.64E-01,9.65E-01,9.62E-01,-1.04E+00,1.35E+01,1.40E+01,#NUM!
TIMM17A,5.48E-01,8.32E-01,9.62E-01,-1.04E+00,6.59E+01,6.85E+01,#NUM!
BTBD7,5.92E-01,8.55E-01,9.62E-01,-1.04E+00,7.45E+01,7.74E+01,#NUM!
CTCF,6.30E-01,8.73E-01,9.62E-01,-1.04E+00,1.21E+02,1.26E+02,#NUM!
MAEA,6.07E-01,8.63E-01,9.62E-01,-1.04E+00,2.97E+01,3.09E+01,#NUM!
IPP,8.99E-01,9.77E-01,9.62E-01,-1.04E+00,7.86E+00,8.18E+00,#NUM!
LINC01106,9.10E-01,9.79E-01,9.62E-01,-1.04E+00,5.42E+00,5.64E+00,#NUM!
LBR,6.54E-01,8.84E-01,9.62E-01,-1.04E+00,9.11E+01,9.47E+01,#NUM!
ORC6,7.73E-01,9.38E-01,9.62E-01,-1.04E+00,3.07E+01,3.19E+01,#NUM!
SRD5A1,8.12E-01,9.50E-01,9.62E-01,-1.04E+00,1.10E+01,1.14E+01,#NUM!
THOC1,6.32E-01,8.75E-01,9.62E-01,-1.04E+00,1.99E+01,2.07E+01,#NUM!
ALDOA,5.31E-01,8.22E-01,9.62E-01,-1.04E+00,3.64E+02,3.78E+02,#NUM!
ALDH5A1,7.14E-01,9.14E-01,9.62E-01,-1.04E+00,1.67E+01,1.74E+01,#NUM!
SOX12,6.00E-01,8.59E-01,9.62E-01,-1.04E+00,7.40E+01,7.69E+01,#NUM!
ANKMY1,9.70E-01,9.94E-01,9.62E-01,-1.04E+00,1.99E+00,2.07E+00,#NUM!
TM9SF2,7.44E-01,9.28E-01,9.62E-01,-1.04E+00,2.77E+01,2.88E+01,#NUM!
ZNF326,5.79E-01,8.48E-01,9.62E-01,-1.04E+00,5.42E+01,5.64E+01,#NUM!
PPP1R8,6.46E-01,8.81E-01,9.61E-01,-1.04E+00,2.70E+01,2.80E+01,#NUM!
C6orf62,6.96E-01,9.06E-01,9.61E-01,-1.04E+00,7.10E+01,7.38E+01,#NUM!
HEATR3,6.59E-01,8.87E-01,9.61E-01,-1.04E+00,2.16E+01,2.24E+01,#NUM!
CIT,7.56E-01,9.31E-01,9.61E-01,-1.04E+00,2.84E+01,2.95E+01,#NUM!
RPS6KA4,7.25E-01,9.19E-01,9.61E-01,-1.04E+00,1.29E+01,1.34E+01,#NUM!
AMZ2P1,7.97E-01,9.45E-01,9.61E-01,-1.04E+00,4.80E+00,5.00E+00,#NUM!
PBX2,9.98E-01,1.00E+00,9.61E-01,-1.04E+00,2.40E+00,2.50E+00,#NUM!
PAPOLA,6.00E-01,8.59E-01,9.61E-01,-1.04E+00,1.84E+02,1.92E+02,#NUM!
USP49,9.23E-01,9.82E-01,9.61E-01,-1.04E+00,4.25E+00,4.42E+00,#NUM!
NPTN,6.00E-01,8.59E-01,9.61E-01,-1.04E+00,8.65E+01,9.00E+01,#NUM!
CCDC91,5.46E-01,8.31E-01,9.61E-01,-1.04E+00,4.92E+01,5.12E+01,#NUM!
DAZAP1,5.68E-01,8.43E-01,9.61E-01,-1.04E+00,1.04E+02,1.08E+02,#NUM!
MBD2,4.30E-01,7.58E-01,9.61E-01,-1.04E+00,9.27E+01,9.65E+01,#NUM!
HSPH1,4.65E-01,7.79E-01,9.61E-01,-1.04E+00,3.47E+02,3.61E+02,#NUM!
RAD51AP1,7.08E-01,9.10E-01,9.61E-01,-1.04E+00,3.69E+01,3.84E+01,#NUM!
KLHDC2,6.09E-01,8.63E-01,9.61E-01,-1.04E+00,3.38E+01,3.52E+01,#NUM!
VAMP3,5.91E-01,8.55E-01,9.61E-01,-1.04E+00,3.43E+01,3.57E+01,#NUM!
SIKE1,7.09E-01,9.11E-01,9.61E-01,-1.04E+00,7.87E+00,8.19E+00,#NUM!
CCNI,5.53E-01,8.35E-01,9.61E-01,-1.04E+00,1.57E+02,1.64E+02,#NUM!
GZF1,7.37E-01,9.25E-01,9.61E-01,-1.04E+00,1.34E+01,1.40E+01,#NUM!
KIF11,4.02E-01,7.38E-01,9.61E-01,-1.04E+00,6.36E+01,6.62E+01,#NUM!
IPO8P1,8.06E-01,9.47E-01,9.61E-01,-1.04E+00,3.70E+00,3.85E+00,#NUM!
SARAF,7.03E-01,9.09E-01,9.61E-01,-1.04E+00,4.86E+01,5.06E+01,#NUM!
TRIM35,7.10E-01,9.11E-01,9.61E-01,-1.04E+00,4.69E+00,4.88E+00,#NUM!
MRPL57,5.19E-01,8.15E-01,9.61E-01,-1.04E+00,7.52E+01,7.82E+01,#NUM!
ANKRD20A1,8.78E-01,9.70E-01,9.61E-01,-1.04E+00,4.59E+00,4.78E+00,#NUM!
CLTC,6.57E-01,8.87E-01,9.61E-01,-1.04E+00,3.18E+02,3.31E+02,#NUM!
FKBP9,6.28E-01,8.73E-01,9.61E-01,-1.04E+00,3.82E+01,3.98E+01,#NUM!
G3BP1,6.89E-01,9.02E-01,9.61E-01,-1.04E+00,1.20E+02,1.24E+02,#NUM!
P3H2,8.07E-01,9.47E-01,9.61E-01,-1.04E+00,7.46E+00,7.77E+00,#NUM!
ZNF254,8.36E-01,9.57E-01,9.61E-01,-1.04E+00,4.48E+00,4.66E+00,#NUM!
PTMA,6.29E-01,8.73E-01,9.60E-01,-1.04E+00,7.31E+02,7.61E+02,#NUM!
MORF4L2,5.85E-01,8.52E-01,9.60E-01,-1.04E+00,2.07E+02,2.16E+02,#NUM!
TFCP2,6.27E-01,8.73E-01,9.60E-01,-1.04E+00,2.25E+01,2.34E+01,#NUM!
SCAF8,7.23E-01,9.19E-01,9.60E-01,-1.04E+00,1.59E+01,1.65E+01,#NUM!
PGD,6.34E-01,8.76E-01,9.60E-01,-1.04E+00,3.10E+02,3.23E+02,#NUM!
NDUFS3,5.26E-01,8.20E-01,9.60E-01,-1.04E+00,7.89E+01,8.21E+01,#NUM!
KANSL2,9.73E-01,9.95E-01,9.60E-01,-1.04E+00,6.38E+00,6.65E+00,#NUM!
PTCD3,4.04E-01,7.39E-01,9.60E-01,-1.04E+00,8.85E+01,9.22E+01,#NUM!
MAPRE1,7.11E-01,9.11E-01,9.60E-01,-1.04E+00,4.11E+01,4.28E+01,#NUM!
GPI,4.70E-01,7.83E-01,9.60E-01,-1.04E+00,5.86E+02,6.11E+02,#NUM!
RBMX2P3,8.55E-01,9.63E-01,9.60E-01,-1.04E+00,2.60E+00,2.71E+00,#NUM!
WDR4,7.33E-01,9.23E-01,9.60E-01,-1.04E+00,2.40E+01,2.50E+01,#NUM!
NSL1,6.63E-01,8.88E-01,9.60E-01,-1.04E+00,4.01E+01,4.18E+01,#NUM!
MRPL58,5.63E-01,8.41E-01,9.60E-01,-1.04E+00,6.06E+01,6.32E+01,#NUM!
ARPC1A,6.71E-01,8.91E-01,9.60E-01,-1.04E+00,2.52E+01,2.63E+01,#NUM!
SLC16A2,9.67E-01,9.93E-01,9.60E-01,-1.04E+00,7.00E+00,7.30E+00,#NUM!
GINM1,6.18E-01,8.69E-01,9.60E-01,-1.04E+00,3.88E+01,4.04E+01,#NUM!
CLSPN,5.63E-01,8.41E-01,9.59E-01,-1.04E+00,9.77E+01,1.02E+02,#NUM!
CORO7,8.59E-01,9.64E-01,9.59E-01,-1.04E+00,3.09E+00,3.22E+00,#NUM!
PPTC7,6.80E-01,8.97E-01,9.59E-01,-1.04E+00,1.78E+01,1.85E+01,#NUM!
NPEPL1,7.67E-01,9.34E-01,9.59E-01,-1.04E+00,1.03E+01,1.07E+01,#NUM!
DBF4P1,5.74E-01,8.46E-01,9.59E-01,-1.04E+00,2.24E+01,2.34E+01,#NUM!
COBLL1,9.68E-01,9.93E-01,9.59E-01,-1.04E+00,5.44E+00,5.67E+00,#NUM!
CRTAP,7.26E-01,9.20E-01,9.59E-01,-1.04E+00,8.44E+01,8.80E+01,#NUM!
PDCD11,4.95E-01,8.00E-01,9.59E-01,-1.04E+00,6.46E+01,6.73E+01,#NUM!
CSNK2A1,5.80E-01,8.49E-01,9.59E-01,-1.04E+00,1.42E+02,1.48E+02,#NUM!
GOLGA2,5.89E-01,8.54E-01,9.59E-01,-1.04E+00,9.76E+01,1.02E+02,#NUM!
PHF12,5.58E-01,8.38E-01,9.59E-01,-1.04E+00,1.53E+01,1.60E+01,#NUM!
TERF2IP,4.81E-01,7.91E-01,9.59E-01,-1.04E+00,6.66E+01,6.95E+01,#NUM!
AGGF1,5.64E-01,8.42E-01,9.59E-01,-1.04E+00,6.58E+01,6.86E+01,#NUM!
HCG11,9.82E-01,9.96E-01,9.59E-01,-1.04E+00,6.87E+00,7.16E+00,#NUM!
CRIM1,6.86E-01,9.00E-01,9.59E-01,-1.04E+00,6.90E+01,7.20E+01,#NUM!
SFXN2,8.04E-01,9.46E-01,9.59E-01,-1.04E+00,4.29E+00,4.47E+00,#NUM!
AC008915.2,7.76E-01,9.38E-01,9.59E-01,-1.04E+00,4.32E+00,4.51E+00,#NUM!
HSF1,5.75E-01,8.47E-01,9.59E-01,-1.04E+00,3.04E+01,3.17E+01,#NUM!
UTP23,6.54E-01,8.84E-01,9.59E-01,-1.04E+00,2.94E+01,3.07E+01,#NUM!
GPX1,7.04E-01,9.09E-01,9.59E-01,-1.04E+00,3.63E+01,3.79E+01,#NUM!
AP000525.1,9.19E-01,9.81E-01,9.59E-01,-1.04E+00,1.24E+01,1.29E+01,#NUM!
AGO2,7.11E-01,9.11E-01,9.59E-01,-1.04E+00,4.46E+01,4.65E+01,#NUM!
CAMKK1,7.51E-01,9.29E-01,9.59E-01,-1.04E+00,3.73E+00,3.90E+00,#NUM!
HNRNPCP3,7.71E-01,9.36E-01,9.59E-01,-1.04E+00,6.20E+00,6.46E+00,#NUM!
ZNF503-AS2,6.07E-01,8.63E-01,9.59E-01,-1.04E+00,3.18E+00,3.32E+00,#NUM!
SMOC1,8.94E-01,9.76E-01,9.59E-01,-1.04E+00,4.12E+00,4.30E+00,#NUM!
ARHGDIA,5.83E-01,8.51E-01,9.58E-01,-1.04E+00,1.28E+02,1.34E+02,#NUM!
ANKRD10-IT1,8.50E-01,9.62E-01,9.58E-01,-1.04E+00,1.62E+00,1.69E+00,#NUM!
PCNP,6.60E-01,8.87E-01,9.58E-01,-1.04E+00,6.43E+01,6.71E+01,#NUM!
TMCC2,8.47E-01,9.60E-01,9.58E-01,-1.04E+00,1.75E+00,1.82E+00,#NUM!
ANKRD17,4.61E-01,7.77E-01,9.58E-01,-1.04E+00,8.91E+01,9.30E+01,#NUM!
THUMPD3,5.13E-01,8.12E-01,9.58E-01,-1.04E+00,4.65E+01,4.85E+01,#NUM!
TM9SF3,3.53E-01,6.98E-01,9.58E-01,-1.04E+00,2.17E+02,2.27E+02,#NUM!
YAE1D1,5.82E-01,8.51E-01,9.58E-01,-1.04E+00,8.43E+00,8.80E+00,#NUM!
ITM2B,5.50E-01,8.33E-01,9.58E-01,-1.04E+00,5.37E+01,5.61E+01,#NUM!
SMURF2,7.55E-01,9.31E-01,9.58E-01,-1.04E+00,2.22E+01,2.32E+01,#NUM!
DDHD1,8.94E-01,9.76E-01,9.58E-01,-1.04E+00,1.33E+01,1.39E+01,#NUM!
ZDHHC23,7.84E-01,9.41E-01,9.58E-01,-1.04E+00,4.58E+00,4.78E+00,#NUM!
TAF1,7.81E-01,9.40E-01,9.58E-01,-1.04E+00,3.41E+01,3.56E+01,#NUM!
SEC24B,8.61E-01,9.65E-01,9.58E-01,-1.04E+00,1.05E+01,1.09E+01,#NUM!
GEN1,7.09E-01,9.11E-01,9.58E-01,-1.04E+00,2.71E+01,2.83E+01,#NUM!
VPS37A,7.86E-01,9.41E-01,9.58E-01,-1.04E+00,1.71E+01,1.79E+01,#NUM!
SBDSP1,5.99E-01,8.59E-01,9.58E-01,-1.04E+00,3.06E+01,3.20E+01,#NUM!
ARFGEF3,9.76E-01,9.95E-01,9.58E-01,-1.04E+00,1.46E+01,1.53E+01,#NUM!
RPS14,4.74E-01,7.86E-01,9.57E-01,-1.04E+00,8.93E+02,9.33E+02,#NUM!
SMC5,5.94E-01,8.56E-01,9.57E-01,-1.04E+00,5.28E+01,5.51E+01,#NUM!
NMB,7.30E-01,9.21E-01,9.57E-01,-1.04E+00,8.09E+00,8.45E+00,#NUM!
