Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-LIMD1KO-C5-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),
LOH12CR2,1.43E-02,1.23E-01,3.34E+00,3.34E+00,2.38E+00,7.14E-01,1.738944687
ANXA8,5.28E-05,2.10E-03,3.32E+00,3.32E+00,2.45E+01,7.38E+00,1.732382891
RNF43,6.84E-08,1.18E-05,3.32E+00,3.32E+00,2.64E+01,7.95E+00,1.729243781
NDRG4,2.49E-07,3.14E-05,3.30E+00,3.30E+00,2.72E+01,8.23E+00,1.724148009
EYA2,2.84E-04,7.80E-03,3.29E+00,3.29E+00,3.99E+00,1.21E+00,1.717239655
DAB2,1.31E-07,1.92E-05,3.27E+00,3.27E+00,2.84E+01,8.67E+00,1.711085483
AGR2,3.38E-01,6.84E-01,3.26E+00,3.26E+00,8.80E+01,2.70E+01,1.705825097
SEMA3B,1.02E-04,3.49E-03,3.26E+00,3.26E+00,4.36E+00,1.34E+00,1.703166855
NAV2,4.37E-08,8.72E-06,3.25E+00,3.25E+00,2.28E+01,7.01E+00,1.699970125
CDH1,8.90E-03,9.09E-02,3.25E+00,3.25E+00,2.89E+01,8.89E+00,1.699397178
IL6R,4.38E-10,2.60E-07,3.24E+00,3.24E+00,1.31E+01,4.03E+00,1.696966154
MATN2,4.13E-05,1.78E-03,3.24E+00,3.24E+00,5.00E+00,1.54E+00,1.695707327
AC025171.2,2.46E-02,1.71E-01,3.21E+00,3.21E+00,2.17E+00,6.76E-01,1.683136034
PID1,6.28E-03,7.23E-02,3.21E+00,3.21E+00,1.58E+00,4.91E-01,1.681691081
PLCE1,9.78E-08,1.54E-05,3.20E+00,3.20E+00,3.12E+01,9.74E+00,1.677326681
LINC01504,1.36E-02,1.20E-01,3.19E+00,3.19E+00,3.65E+00,1.15E+00,1.673419269
MMD,1.45E-08,3.84E-06,3.18E+00,3.18E+00,4.34E+01,1.36E+01,1.669487262
ARRB2,5.65E-10,3.06E-07,3.18E+00,3.18E+00,1.48E+02,4.64E+01,1.669286017
SLC27A3,2.31E-03,3.62E-02,3.17E+00,3.17E+00,3.56E+00,1.12E+00,1.665773983
EGLN3,1.91E-03,3.19E-02,3.17E+00,3.17E+00,5.48E+00,1.73E+00,1.665258572
FGD4,6.85E-06,4.29E-04,3.16E+00,3.16E+00,1.13E+01,3.56E+00,1.65877974
TLR3,1.46E-02,1.25E-01,3.16E+00,3.16E+00,6.52E-01,2.07E-01,1.658122312
APOBEC3A,3.37E-02,2.08E-01,3.14E+00,3.14E+00,2.82E+00,8.99E-01,1.651764212
ZNF516,1.81E-03,3.05E-02,3.14E+00,3.14E+00,4.39E+00,1.40E+00,1.649187528
GSN,4.12E-07,4.80E-05,3.12E+00,3.12E+00,1.24E+01,3.99E+00,1.639959979
SEMA3E,3.86E-01,7.26E-01,3.11E+00,3.11E+00,1.01E+01,3.24E+00,1.638421907
NRCAM,3.72E-01,7.14E-01,3.10E+00,3.10E+00,8.59E+01,2.77E+01,1.63166948
ADORA2B,3.77E-04,9.73E-03,3.09E+00,3.09E+00,8.87E+00,2.87E+00,1.626119262
GAB2,3.00E-04,8.16E-03,3.07E+00,3.07E+00,7.39E+00,2.40E+00,1.619448959
SAMD9L,4.07E-01,7.41E-01,3.07E+00,3.07E+00,9.50E-01,3.09E-01,1.61831283
GTF2IRD2B,1.05E-01,3.95E-01,3.07E+00,3.07E+00,3.19E+00,1.04E+00,1.615916856
LBH,2.23E-03,3.56E-02,3.06E+00,3.06E+00,2.64E+01,8.64E+00,1.612123365
AC006453.2,4.29E-03,5.61E-02,3.03E+00,3.03E+00,8.87E+00,2.92E+00,1.60095414
SLC9A3R2,1.84E-07,2.46E-05,3.03E+00,3.03E+00,3.09E+01,1.02E+01,1.599674389
A4GALT,1.82E-04,5.66E-03,3.03E+00,3.03E+00,5.20E+00,1.72E+00,1.599240562
ZNF222,1.63E-02,1.33E-01,3.02E+00,3.02E+00,2.19E+00,7.23E-01,1.595875364
LFNG,5.17E-04,1.24E-02,3.01E+00,3.01E+00,7.91E+00,2.63E+00,1.588864394
EBF1,3.10E-03,4.44E-02,2.99E+00,2.99E+00,1.49E+00,4.98E-01,1.581074062
SP140L,4.45E-08,8.72E-06,2.99E+00,2.99E+00,8.51E+00,2.85E+00,1.579067243
CYP1B1,2.36E-11,3.34E-08,2.96E+00,2.96E+00,9.93E+01,3.35E+01,1.568003138
